SpecimenID	Surface Area	Volume	AbsGI	Folding Length	Folding number	Lambda	Delta
51058	198996.171875	966763.187500	4.208692	12544.316406	418	11.3432	10.1919
51060	194959.015625	884144.437500	4.376333	11579.040039	362	11.5462	11.0642
51061	186541.281250	844164.750000	4.318564	11749.451172	445	10.838	10.4576
51062	175926.906250	829860.000000	4.119504	10746.779297	325	12.1042	10.3181
51063	219541.140625	1044659.687500	4.409424	13564.862305	443	11.0688	10.6502
51114	236309.328125	1202801.875000	4.320500	14548.405273	508	11.1675	10.6592
51116	235943.406250	1134178.875000	4.486104	14414.167969	458	10.9101	10.9138
51118	192413.546875	921537.687500	4.201549	12276.676758	396	11.1025	10.1218
51152	235403.812500	1126108.625000	4.497203	14544.209961	450	10.7713	10.7998
51153	226282.656250	1114357.625000	4.353288	13780.417969	453	11.3935	10.7238
Abby_Yerkes	75454.539062	315963.812500	3.363383	5245.587402	210	12.413	8.17787
Amanda_Yerkes	72352.875000	305459.656250	3.298646	5001.506836	190	12.9958	7.96829
ApelleCebusApell_f4b9	13956.472656	36284.496094	2.633161	1057.996338	37	14.9051	5.73887
Artemus_Yerkes	67581.492188	260889.015625	3.422734	4611.869141	191	12.6145	8.34658
Arthur_Yerkes	66537.093750	281290.250000	3.204866	4669.957520	184	12.9881	7.75386
AteleAtelesAter_7245	20839.458984	69996.351562	2.537185	1786.841919	73	13.4993	4.91309
Atele_6717	25067.337891	84765.648438	2.686236	1924.591553	85	14.1146	5.96747
AyeAyeDaubentoni_cb56	6000.070312	17151.126953	1.865565	516.742065	26	18.0997	2.56152
Azalea_Yerkes	61232.578125	238143.187500	3.295639	4293.882324	181	12.7993	7.86075
BabouinCercopith_a723	30136.593750	89861.179688	3.106194	2503.467529	89	11.337	6.36946
Barbara_Yerkes	67348.750000	284481.750000	3.219653	4673.424316	169	13.3086	7.75671
Barney_Yerkes	77455.585938	302061.312500	3.557721	5252.574707	208	12.3651	8.56368
Bonobo_brian	60664.867188	243035.609375	3.221117	4567.099121	112	11.8912	7.33742
Carl_Yerkes	66565.117188	271018.718750	3.286722	4773.478516	198	12.6396	7.62497
ColobeColobusPol_6118	15191.202148	40468.386719	2.665001	1167.545654	43	14.2539	5.8843
David_Yerkes	66984.484375	294926.656250	3.126181	4503.292480	159	13.7571	7.99601
DouroucouliAotus_091c	4439.394531	11745.668945	1.776592	282.900482	10	26.0664	2.65923
GalagoDemidoviiG_6cf3	1238.425049	1925.203247	1.654758	80.023254	6	27.377	1.78731
Gibbon_buddy	20570.375000	60685.457031	2.754451	1789.443359	61	12.1827	5.40406
GorillaBeringeiG_0854	55806.566406	272907.906250	2.742777	4403.798340	120	14.2611	5.54184
Gorilla_kinyani	56709.085938	237689.671875	3.056058	4534.380859	107	12.1509	6.43102
LangurIndienPith_8390	17509.910156	49915.832031	2.670797	1337.516724	50	14.0077	6.08752
LemurMongosLemur_b941	5561.826172	14495.492188	1.934541	435.897858	25	19.3514	3.08378
LepilemurAQueueR_309f	1934.241211	4087.298828	1.564596	108.905891	7	33.661	0.930144
MacacaFascicular_3a21	22655.361328	57743.750000	3.135813	1770.321411	65	11.906	6.84429
MacacaFascicularis_32200	15910.188477	46343.593750	2.549948	1222.707153	36	15.009	5.50774
MacacaFascicularis_32202	19574.476562	57027.109375	2.732028	1470.208496	50	14.4063	6.11093
MacacaFascicularis_32204	16997.755859	46229.140625	2.728749	1316.468872	43	14.0615	5.88087
MacacaFascicularis_32205	19499.175781	56314.066406	2.744443	1470.985474	51	14.1183	6.19673
MacacaFascicularis_mf01	16672.355469	44869.144531	2.730325	1295.871094	46	13.7055	6.01302
MacacaFascicularis_mf02	15678.189453	43367.917969	2.626431	1228.329590	44	14.205	5.66135
MacacaMulatta_32198	26023.167969	77682.492188	2.955702	2044.079224	89	12.6009	6.43053
MacacaMulatta_32199	26291.316406	81225.734375	2.898672	2008.001709	68	13.2738	6.45635
MacacaMulatta_32201	24617.017578	72568.000000	2.925867	1930.983398	65	12.7726	6.36214
MacacaMulatta_32203	24658.259766	74173.929688	2.888312	1887.942627	66	13.2848	6.41852
MacacaMulatta_mm01	25952.390625	78893.750000	2.917415	2067.479736	68	12.6554	6.22496
MacaqueCrabierMa_8f9e	11731.265625	27656.929688	2.652516	1044.617432	50	12.3407	5.05986
MacaqueRhesusMac_bdf8	11973.667969	27757.765625	2.700765	972.810730	27	13.4616	5.57753
MakiCattaLemurCa_dec8	4706.082031	12657.725586	1.791726	392.268616	23	19.3308	2.33168
MangabeyCercoceb_4458	19729.267578	49184.953125	3.039056	1718.559204	58	10.9729	5.99367
MangabeyCouronne_6b65	20510.472656	51689.042969	3.056511	1740.586426	74	11.2411	6.16312
MarsousetOedipom_e834	2791.364258	6254.427246	1.700359	161.926056	9	30.1355	2.17075
MicrocebeDeCoque_e3a9	1924.307861	3884.830322	1.610185	105.562752	7	33.332	1.56306
MicrocebeMignonM_ca6c	626.764221	809.311829	1.492369	43.904423	9	28.7162	-0.0824343
MoustacLasiopygi_23cc	17318.617188	41537.898438	2.985837	1471.991455	54	11.6691	5.93087
NycticebusTardig_08cb	1607.093872	3071.111084	1.572872	130.460968	11	22.6798	0.978701
Orangoutan_80bb	43992.136719	184458.296875	2.807321	3514.669434	113	12.9615	6.03595
OuistitiAPinceau_b4aa	2201.694824	3937.970947	1.825680	142.143051	7	25.5491	2.71476
PithecusGermaini_6a2c	14245.421875	37987.582031	2.606734	1112.627563	44	14.1525	5.72713
SaimiriCassiquia_7176	4907.956055	9391.615234	2.279938	395.946686	14	16.2881	4.25144
SaimiriCassiquia_eb44	4116.254883	7687.597168	2.185199	331.175873	17	16.7394	4.0595
SapajouCapucinCe_d971	14128.920898	40050.730469	2.495847	1082.609497	40	15.467	5.31732
SingeLaineuxLago_0f84	17841.226562	49384.894531	2.740803	1522.773315	52	12.3321	5.55021
VariNoirEtBlancL_4d0e	4691.237793	16032.390625	1.525707	398.961639	26	22.5551	0.481061
VervetCercopithe_72ae	18028.455078	53627.046875	2.621512	1481.102661	65	13.6511	5.34676
